Quote	Verb	Type	Author	Title	Page	Original Publication Date	Original Publisher	Reprint Collection or URL	Reprint Publisher	Reprint Publication Date	Pseudonymn	Translator	Social Profile Information														
Being ill&rsquo;s never agreeable but there are towns that stand by you, so to speak, when you are sick....	wash	literature	Albert Camus	The Plague	2	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

Naturally, a historian, even an amateur, always has data, personal or at second hand, to guide him.	wash	literature	Albert Camus	The Plague	3	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

He found his first patient, an asthma case of long standing, in bed, in a room that served as both dining-room and bedroom and overlooked the street.	wash	literature	Albert Camus	The Plague	4	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

When shaking hands with him, Rieux suggested that if he was out for curious stories for his paper, he might say something about the extraordinary number of dead rats that were being found in the town just now.	wash	literature	Albert Camus	The Plague	6	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															
We&rsquo;ve not seen anything of the sort before....	wash	literature	Albert Camus	The Plague	6	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert	

...he was looking tired and his normally rubicund face had lost its color.	wash	literature	Albert Camus	The Plague	6	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

Actually the municipality had not contemplated doing anything at all, but now a meeting was convened to discuss the situation.	wash	literature	Albert Camus	The Plague	7	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

You must picture the consternation of our little town, hitherto so tranquil, and now, out of the blue, shaken to its core....	wash	literature	Albert Camus	The Plague	8	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

